문제 번호,영문 문제 내용,한국어 문제 내용,문제의 답,문제의 해설
1,"? Custom View Settings A project manager leads a software development project in a hybrid environment. During project planning, the project manager identied a risk where a technical resource for a critical path item may not be available when needed. One week before the resource is needed, the technical engineer had a personal emergency and had to take a leave. What should the project manager do next? A. Consult the risk register for an appropriate planned risk response and implement. B. Revise the project management plan and move the task to a time when the technical resource will be available. C. Review the business requirement with stakeholders and exclude the task assigned to the technical resource. D. Update the lessons learned report and the risk log to reect that this risk has materialized.",프로젝트 매니저는 하이브리드 환경에서 소프트웨어 개발 프로젝트를 이끌고 있습니다. 프로젝트 계획 중에 프로젝트 매니저는 중요 경로 항목에 대한 기술 자원이 필요할 때 사용하지 못할 수 있는 위험을 식별했습니다. 자원이 필요하기 일주일 전에 기술 엔지니어에게 개인적인 응급 상황이 발생하여 휴가를 가야 했습니다. 프로젝트 매니저는 다음에 무엇을 해야 합니까? A. 위험 관리 계획서에서 적절한 계획된 위험 대응책을 참조하고 실행합니다. B. 프로젝트 관리 계획을 수정하고 기술 자원을 사용할 수 있는 시간으로 작업을 이동합니다. C. 이해관계자와 비즈니스 요구사항을 검토하고 기술 자원에 할당된 작업을 제외합니다. D. 학습된 교훈 보고서와 위험 기록을 업데이트하여 이 위험이 실현되었음을 반영합니다.,A,"위험 관리 계획서에는 식별된 위험에 대한  대응 전략이 미리 정의되어 있습니다.  기술 자원 부재 위험이 현실화되었으므로, 프로젝트 매니저는 우선 위험 관리 계획서에 정의된 대응책을 실행해야 합니다. 이는 PMBOK의 위험 대응 실행 프로세스에 따른 조치입니다.  B, C, D는 위험 대응 전략을 확인하기 전에  계획 변경, 요구사항 변경, 또는 문서 업데이트를  우선시하는 것으로 적절하지 않습니다."
2,"A team has just adopted an agile approach. During daily standup meetings, the team expressed concerns about task delays. The project leader worked with the product owner to get clarity on the features. The project leader asked the team to fast-track all product features to ensure delivery. Sprints are being completed but with either fewer features or low quality. What should the project leader have done to ensure success? A. Asked the team to create an impediment log and keep it updated for use in the next sprint planning B. Directed teams to possible solutions that help in removing the impediments and contribute to a timely delivery C. Suggested to the team to add impediments as work items in the product backlog to be xed in the next sprints D. Empowered the team to improve their processes, tools, and interactions to be more effective in delivery and removing impediments","프로젝트 팀이 최근 애자일 방식을 도입했습니다. 매일 스탠드업 미팅에서 팀원들은 작업 지연에 대한 우려를 표명했습니다. 프로젝트 리더는 제품 책임자와 협력하여 기능에 대한 명확성을 확보했습니다. 프로젝트 리더는 납품을 보장하기 위해 모든 제품 기능을 패스트트래킹하도록 팀에 요청했습니다. 스프린트는 완료되고 있지만 기능이 적거나 품질이 낮습니다. 프로젝트 리더는 성공을 보장하기 위해 무엇을 했어야 했습니까? A. 팀에게 다음 스프린트 계획에 사용할 수 있도록 장애 목록을 작성하고 업데이트하도록 요청해야 했습니다. B. 팀에게 장애를 제거하고 적시 납품에 기여하는 데 도움이 되는 가능한 솔루션을 지시해야 했습니다. C. 팀에게 다음 스프린트에서 수정될 제품 백로그에 작업 항목으로 장애를 추가하도록 제안해야 했습니다. D. 팀이 납품 및 장애 제거에 있어 더 효과적이도록 프로세스, 도구 및 상호 작용을 개선할 수 있도록 권한을 부여해야 했습니다.",D,"애자일의 핵심 가치 중 하나는 자기 조직화 팀입니다. 프로젝트 리더는 팀에게 문제 해결 및 프로세스 개선에 대한 권한을 부여해야 합니다.  지시적인 접근(B)보다는 팀의 자율성을 존중하고, 장애물을 스스로 해결할 수 있도록 지원하는 것이 애자일 리더십의 핵심입니다. 장애 목록 작성(A)과 백로그 추가(C)는 팀이 스스로 판단하여 실행할 수 있도록 해야 합니다.  이 질문은 서번트 리더십과 자기 조직화 팀에 대한 이해를 평가합니다."
3,"A team is delivering features to a customer at every iteration. After completing each iteration, the customer is invited for a review. However, the customer is frequently not available and the review is often delayed, which results in increased rework for the team. What should the project manager do? A. Include the customer in daily project activities to gain the required guidance B. Plan ahead and dene the best way to review the deliverables with the customer C. Request the customer to clarify all requirements at the start of each iteration D. Ask the customer to review the deliverables in each iteration based on their availability","프로젝트 팀은 매 반복마다 고객에게 기능을 제공하고 있습니다. 각 반복이 완료된 후, 고객은 검토를 위해 초대됩니다. 그러나 고객은 자주 시간을 낼 수 없어 검토가 지연되는 경우가 많고, 이로 인해 팀의 재작업이 증가합니다. 프로젝트 관리자는 어떻게 해야 합니까? A. 필요한 지침을 얻기 위해 고객을 매일 프로젝트 활동에 참여시킨다. B. 미리 계획하고 고객과 결과물을 검토하는 가장 좋은 방법을 정의한다. C. 각 반복 시작 시 고객에게 모든 요구사항을 명확히 해달라고 요청한다. D. 고객에게 각 반복의 결과물을 본인의 시간이 될 때 검토해달라고 요청한다.",B,"고객의 참여 부족으로 인한 검토 지연 및 재작업 증가 문제를 해결하기 위해서는 효과적인 의사소통 계획 수립이 중요합니다. PMBOK에서 강조하는 이해관계자 관리(Stakeholder Management)의 핵심은 효과적인 의사소통을 통해 이해관계자의 참여를 유도하고, 요구사항을 명확히 하는 것입니다.  B처럼 미리 계획하고 고객과 결과물을 검토하는 최선의 방법 (예: 정기적인 화상 회의 일정 확정, 비동기 검토 도구 활용 등)을 정의함으로써 고객의 상황을 고려하면서도 효율적인 검토 프로세스를 구축할 수 있습니다.  A는 고객에게 과도한 부담을 줄 수 있고, C는 반복적인 개발의 유연성을 저해할 수 있으며, D는 현재 문제의 근본 원인을 해결하지 못합니다."
4,"A project manager is part of a team that is launching a series of features to comply with a new regulation. The team has only 6 weeks to release the features to the legacy applications. During the standup meeting, a software engineer indicated that the development of an important feature is on hold until the assigned designer completes a specic task. This delay is a serious road block to meeting the release date. What should the project manager do? A. Meet with the design team manager to inform them of the current status and request an additional designer B. Ask the software engineer to move forward without completing the important feature C. Contact the design team manager and ask to reconsider the priority list based on the latest situation D. Meet with the designer to share the current status and develop a solution to complete the task",프로젝트 매니저는 새로운 규정을 준수하기 위해 일련의 기능을 출시하는 팀의 일원입니다. 팀은 레거시 애플리케이션에 기능을 출시하기 위해 6주밖에 남지 않았습니다. 스탠드업 미팅에서 소프트웨어 엔지니어는 중요한 기능의 개발이 할당된 디자이너가 특정 작업을 완료할 때까지 보류 중이라고 말했습니다. 이 지연은 출시일에 맞추는 데 심각한 장애물입니다. 프로젝트 매니저는 어떻게 해야 합니까? A. 디자인 팀 매니저와 만나 현재 상황을 알리고 추가 디자이너를 요청합니다. B. 소프트웨어 엔지니어에게 중요한 기능을 완료하지 않고 계속 진행하도록 요청합니다. C. 디자인 팀 매니저에게 연락하여 최신 상황에 따라 우선순위 목록을 재고하도록 요청합니다. D. 디자이너와 만나 현재 상황을 공유하고 작업을 완료할 수 있는 해결책을 개발합니다.,D,"PMBOK에서 강조하는 문제 해결 및 협업의 원칙에 따라, 프로젝트 매니저는 먼저 문제의 근본 원인을 파악하고 관련 당사자와 직접 소통하여 해결책을 찾아야 합니다. D처럼 디자이너와 직접 만나 상황을 공유하고 해결책을 모색하는 것이 가장 효과적입니다. 다른 선택지들은 문제 해결에 필요한 직접적인 소통과 협업을 간과하고 있습니다.  A는 추가 자원 투입을 고려할 수 있지만, 먼저 현재 자원의 효율적인 활용 방안을 모색해야 합니다. B는 중요 기능을 배제하는 것으로, 프로젝트 목표 달성에 차질을 줄 수 있습니다. C는 우선순위 재조정을 요청하지만, 먼저 디자이너의 작업 지연 원인을 파악하고 해결하는 것이 우선입니다."
5,"A project manager is working with a customer's team on a new project. Some product denitions and requirements are still not clear, but the customer wants to start activities as soon as possible. The organization is also expecting product delivery for a specic date due to a regulatory requirement. Due to the nature of the project, the project manager has decided to use a hybrid approach. Why did the project manager choose a hybrid approach? A. A hybrid approach will enable project activities to start immediately and allow for a plan for the requirements denitions B. A hybrid approach will allow the project manager to revise the product specications C. A hybrid approach will allow for management of the requirement uncertainties as well as the date restriction D. A hybrid approach will ensure the delivery date is accomplished and will eliminate product uncertainties","프로젝트 관리자는 고객 팀과 새로운 프로젝트를 진행하고 있습니다. 일부 제품 정의 및 요구사항은 아직 명확하지 않지만, 고객은 가능한 한 빨리 활동을 시작하기를 원합니다. 조직은 또한 규제 요구사항으로 인해 특정 날짜에 제품을 인도할 것으로 예상하고 있습니다. 프로젝트의 특성상 프로젝트 관리자는 하이브리드 접근 방식을 사용하기로 결정했습니다. 프로젝트 관리자가 하이브리드 접근 방식을 선택한 이유는 무엇입니까? A. 하이브리드 접근 방식을 사용하면 프로젝트 활동을 즉시 시작하고 요구사항 정의를 계획할 수 있습니다. B. 하이브리드 접근 방식을 사용하면 프로젝트 관리자가 제품 사양을 수정할 수 있습니다. C. 하이브리드 접근 방식을 사용하면 요구사항의 불확실성과 날짜 제한을 관리할 수 있습니다. D. 하이브리드 접근 방식을 사용하면 인도 날짜를 달성하고 제품의 불확실성을 제거할 수 있습니다.",C,"하이브리드 접근 방식은 예측형 및 적응형 방법론을 결합한 것입니다. 이 질문에서, 요구사항의 불확실성은 적응형 접근 방식을 필요로 하지만, 정해진 규제 기한은 예측형 접근 방식을 필요로 합니다. 하이브리드 접근 방식을 사용하면 프로젝트 관리자는 불확실성을 관리하면서(적응형) 동시에 고정된 기한(예측형)을 준수할 수 있습니다.  즉, 하이브리드 접근 방식은 이러한 상반되는 요구사항을 모두 충족하는 최적의 선택입니다."
6,A project team has expressed concern that certain remote team members are not able to collaborate with the larger project team due to their work schedule. The project manager is confused since the entire team is located in the same time zone and believes there are other factors at play. What should the project manager do next? A. Implement new options B. Examine the team's virtual needs C. Rectify ground rule violations D. Review performance formally,프로젝트 팀은 특정 원격 팀원들이 업무 일정으로 인해 더 큰 프로젝트 팀과 협업할 수 없다는 우려를 표명했습니다. 프로젝트 관리자는 전체 팀이 같은 시간대에 위치하고 있기 때문에 혼란스러워하며 다른 요인이 작용하고 있다고 생각합니다. 프로젝트 관리자는 다음에 무엇을 해야 합니까? A. 새로운 옵션을 구현합니다 B. 팀의 가상 요구 사항을 검토합니다 C. 기본 규칙 위반을 시정합니다 D. 공식적으로 성과를 검토합니다,B,"원격 팀원들이 같은 시간대에 있음에도 협업에 어려움을 겪는다는 것은 단순한 시간 문제가 아닌 다른 요인이 있음을 시사합니다. 프로젝트 관리자는 팀원들의 가상 협업 환경, 도구, 소통 방식 등을 포함한 ""가상 요구 사항""을 검토하여 문제의 근본 원인을 파악해야 합니다.  이는 PMBOK의 소통 관리 및 이해관계자 관리 영역과 관련이 있습니다. 효과적인 협업을 위한 적절한 도구와 프로세스가 제공되고 있는지, 팀원들이 기술적인 어려움이나 다른 제약은 없는지 확인해야 문제를 해결하고 팀 성과를 향상시킬 수 있습니다."
7,"A company is implementing a project with team members located in different countries and time zones. Individual performance is satisfactory, but the team's performance as a whole is low, especially in terms of group activities. What should the project manager do? A. Review and reassign team assignments B. Facilitate communication and team building C. Negotiate for new team members D. Review and update the communications management plan","프로젝트 팀원들이 여러 국가와 시간대에 분산되어 있는 프로젝트를 회사에서 진행하고 있습니다. 개별 성과는 만족스럽지만, 특히 그룹 활동에서 팀 전체의 성과가 저조합니다. 프로젝트 관리자는 어떻게 해야 합니까? A. 팀 과제를 검토하고 재할당합니다. B. 의사소통 및 팀 빌딩을 촉진합니다. C. 새로운 팀원 협상을 진행합니다. D. 의사소통 관리 계획을 검토하고 업데이트합니다.",B,"분산된 팀에서 개별 성과는 좋지만 팀 전체 성과, 특히 그룹 활동에서 성과가 저조한 것은 팀원 간의 효과적인 의사소통 및 협업 부족을 나타냅니다. PMBOK에서 팀 성과 향상을 위한 핵심 도구 중 하나는 팀 빌딩 활동입니다.  프로젝트 관리자는 팀 빌딩 활동을 통해 팀 응집력과 협업을 증진시켜 팀 성과를 향상시킬 수 있습니다. 의사소통 촉진 또한 팀원 간의 이해와 협력을 높이는 데 중요한 역할을 합니다. 따라서 정답은 B입니다.  A는 과제 재할당이 근본적인 문제 해결에 직접적인 도움이 되지 않을 수 있고, C는 새로운 팀원을 뽑는 것이 시간과 비용이 많이 들며 팀 역동성을 해칠 수 있고, D는 의사소통 관리 계획 업데이트는 필요할 수 있지만 팀 빌딩 및 의사소통 촉진보다 우선순위가 낮습니다."
8,"During the third iteration of a project, the product owner requests another mandatory feature. This also happened in the previous two sprints, which resulted in failure and caused frustration within the team. What should the project manager do next? A. Request the scrum team to prioritize the product backlog B. Ask the product owner to prioritize the backlog with the project team C. Call for an internal meeting to discuss the changes and their value D. Incorporate the changes in the last sprint before the rst release","프로젝트의 세 번째 반복 동안, 제품 책임자가 또 다른 필수 기능을 요청했습니다. 이는 이전 두 스프린트에서도 발생했으며, 실패와 팀 내의 불만을 초래했습니다. 프로젝트 관리자는 다음에 무엇을 해야 합니까? A. 스크럼 팀에게 제품 백로그의 우선순위를 정하도록 요청한다 B. 제품 책임자에게 프로젝트 팀과 함께 백로그의 우선순위를 정하도록 요청한다 C. 변경 사항과 그 가치에 대해 논의하기 위한 내부 회의를 소집한다 D. 첫 번째 릴리스 전 마지막 스프린트에 변경 사항을 포함시킨다",B,"제품 백로그의 우선순위 결정은 제품 책임자의 책임이지만, 반복적인 요청과 팀의 불만을 고려할 때, 프로젝트 관리자는 제품 책임자와 프로젝트 팀 간의 협업 및 투명성을 촉진해야 합니다. 제품 책임자가 프로젝트 팀과 함께 우선순위를 정하도록 요청함으로써, 팀은 변경 사항의 영향을 이해하고, 우려 사항을 제기하며, 릴리스 계획에 대한 공동의 책임감을 가질 수 있습니다. 이는 스크럼의 핵심 가치인 협업과 투명성을 강화하고, 지속적인 개선을 위한 환경을 조성합니다.  제품 백로그 관리는 스크럼의 중요한 부분이며, 제품 책임자와 개발팀 간의 지속적인 협력이 필요합니다."
9,"Five agile teams working together on a product recently performed release planning. Midway through the project, each team showed that their progress was on track. When all of the teams integrated at the product level, many integration issues were observed. The overall product release progress declined with predictions showing the committed content will not be able to be accomplished. What should the project manager have done differently? A. Performed a Scrum of Scrums on a regular basis to help the teams remove impediments B. Formed a separate quality assurance team to test all items coming from each team at the end of each sprint C. Arranged an online session on the integration concept and suggested tools to the teams D. Ensured frequent and continuous integration of work to obtain early feedback and continuous learning","프로젝트 중반에 다섯 개의 애자일 팀이 함께 제품 개발을 진행하고 있습니다. 각 팀은 계획대로 진행되고 있다고 보고했지만, 제품 수준에서 통합했을 때 많은 통합 문제가 발생했습니다. 전체 제품 출시 진행 상황이 지연되었고, 약속된 콘텐츠를 완료할 수 없을 것으로 예상됩니다. 프로젝트 관리자는 무엇을 다르게 했어야 했습니까? A. 팀들이 장애물을 제거하도록 돕기 위해 정기적으로 스크럼 오브 스크럼(Scrum of Scrums)을 수행했어야 합니다. B. 각 스프린트 종료 시 각 팀에서 나오는 모든 항목을 테스트하기 위해 별도의 품질 보증 팀을 구성했어야 합니다. C. 팀들에게 통합 개념과 제안 도구에 대한 온라인 세션을 마련했어야 합니다. D. 조기에 피드백을 얻고 지속적인 학습을 위해 빈번하고 지속적인 작업 통합을 보장했어야 합니다.",D,"애자일 방법론, 특히 스크럼에서는 빈번한 통합과 지속적인 통합(CI)이 핵심입니다.  통합 문제를 조기에 발견하고 해결하기 위해서는 개발 초기부터 지속적으로 통합해야 합니다. 이를 통해 프로젝트 후반부에 발생할 수 있는 큰 문제를 예방하고, 약속된 범위를 달성할 가능성을 높일 수 있습니다.  스크럼 오브 스크럼은 여러 스크럼 팀 간의 조정에는 도움이 되지만, 통합 자체를 보장하지는 않습니다. 별도의 QA팀 구성은 폭포수 방식에 가깝고 애자일의 핵심 가치에 어긋납니다. 온라인 교육 세션은 지식 전달에는 도움이 되지만, 실제 통합 문제 해결에는 직접적인 효과가 떨어집니다."
10,A project team member is having diculty delivering assigned tasks for a project that is at risk of being delayed. The main issue is that the team member does not understand a new system that was recently implemented. What should the project manager do? A. Ask the team member to learn the new system as on-the-job training. B. Issue a change request to extend the project schedule. C. Escalate the team member's performance to the project sponsor. D. Assign an experienced resource to support the team member.,프로젝트 팀원이 지연 위험이 있는 프로젝트에 할당된 작업을 수행하는 데 어려움을 겪고 있습니다. 주된 문제는 팀원이 최근에 구현된 새로운 시스템을 이해하지 못한다는 것입니다. 프로젝트 관리자는 어떻게 해야 합니까? A. 팀원에게 새로운 시스템을 직무 교육으로 학습하도록 요청합니다. B. 프로젝트 일정 연장을 위한 변경 요청을 제출합니다. C. 팀원의 성과 문제를 프로젝트 후원자에게 보고합니다. D. 숙련된 자원을 배정하여 팀원을 지원합니다.,D,"팀원의 기술 부족으로 인해 프로젝트가 지연될 위험이 있는 상황입니다. PMBOK에서 제시하는 팀 성과 관리의 핵심은 팀원의 역량 강화 및 지원입니다.  숙련된 자원을 배정하여 팀원을 지원하는 것은 즉각적인 문제 해결을 돕고, 지식 이전을 통해 장기적으로 팀 역량을 향상시키는 데 도움이 됩니다. 변경 요청이나 상위 보고는 문제 해결의 직접적인 방안이 아니며, 직무 교육은 숙련된 자원의 지원보다 효과적이지 않을 수 있습니다. 따라서 팀원에게 직접적인 지원을 제공하는 D가 가장 적절한 조치입니다."
